                    , SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles               ,   2250, 5903, 2897, 2609
instructions         ,   2250, 2250, 2250, 2250
cycles: reorder      ,   2054, 4595, 2637, 2413
instructions: reorder,   2054, 2054, 2054, 2054
cycles: optimal      ,   1798, 3538, 2265, 2091
instructions: optimal,   1798, 1798, 1798, 1798


