                    , SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles               ,   29, 79, 38, 36
instructions         ,   29, 29, 29, 29
cycles: reorder      ,   25, 52, 34, 32
instructions: reorder,   25, 25, 25, 25
cycles: optimal      ,   21, 44, 30, 28
instructions: optimal,   21, 21, 21, 21


