                    , SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles               ,   2248, 5898, 2895, 2607
instructions         ,   2248, 2248, 2248, 2248
cycles: reorder      ,   2052, 4593, 2635, 2411
instructions: reorder,   2052, 2052, 2052, 2052
cycles: optimal      ,   1796, 3536, 2263, 2089
instructions: optimal,   1796, 1796, 1796, 1796


