                    , SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles               ,   2106, 5507, 2705, 2437
instructions         ,   2106, 2106, 2106, 2106
cycles: reorder      ,   1922, 4275, 2461, 2253
instructions: reorder,   1922, 1922, 1922, 1922
cycles: optimal      ,   1660, 3246, 2083, 1927
instructions: optimal,   1660, 1660, 1660, 1660


